Ingredient,Combination,Dry,Normal,Oily,Sensitive
Algae (Seaweed) Extract,14,14,15,15,14
Mineral Oil,4,4,4,4,4
Petrolatum,19,21,18,15,14
Glycerin,676,637,671,627,522
Isohexadecane,51,52,53,50,36
Microcrystalline Wax,4,4,4,4,3
Lanolin Alcohol,5,5,3,3,3
Citrus Aurantifolia (Lime) Extract,2,2,2,2,2
Sesamum Indicum (Sesame) Seed Oil,17,16,18,18,17
Eucalyptus Globulus (Eucalyptus) Leaf Oil,13,13,14,14,13
Sesamum Indicum (Sesame) Seed Powder,13,13,14,14,13
Medicago Sativa (Alfalfa) Seed Powder,13,13,14,14,13
Helianthus Annuus (Sunflower) Seedcake,26,23,23,25,19
Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal,14,14,15,15,14
Sodium Gluconate,14,14,15,15,13
Copper Gluconate,30,28,31,27,28
Calcium Gluconate,28,28,29,24,27
Magnesium Gluconate,19,19,20,20,18
Zinc Gluconate,41,38,41,38,37
Magnesium Sulfate,26,25,26,25,26
Paraffin,10,10,10,10,7
Tocopheryl Succinate,13,13,14,14,13
Niacin,19,17,18,20,17
Water,698,653,690,646,548
Beta-Carotene,4,3,4,4,2
Decyl Oleate,3,3,3,3,3
Aluminum Distearate,3,3,3,3,2
Octyldodecanol,23,23,22,21,19
Citric Acid,241,233,242,230,190
Cyanocobalamin,6,5,6,6,5
Magnesium Stearate,5,4,4,5,4
Panthenol,121,111,121,107,97
Limonene,165,152,168,159,115
Geraniol,84,81,87,82,64
Linalool,153,140,155,147,101
Hydroxycitronellal,20,20,21,20,19
Citronellol,94,93,97,90,77
Benzyl Salicylate,22,19,23,22,13
Citral,60,56,62,61,43
Sodium Benzoate,184,174,181,176,148
Alcohol Denat.,74,64,74,75,51
Fragrance.,55,53,55,47,48
Galactomyces Ferment Filtrate (Pitera),8,8,8,8,8
Butylene Glycol,512,476,502,479,398
Pentylene Glycol,153,150,152,141,121
Methylparaben,39,38,39,36,29
Sorbic Acid.,6,6,6,6,4
Dicaprylyl Carbonate,41,37,40,34,27
Cetearyl Alcohol,135,133,138,120,101
Cetearyl Olivate,28,27,28,25,23
Sorbitan Olivate,30,28,31,26,24
Sclerocarya Birrea Seed Oil,25,24,25,25,8
Bacillus/Soybean/ Folic Acid Ferment Extract,1,1,1,1,0
Nymphaea Alba Root Extract,1,1,1,1,0
sh-Oligopeptide-1,7,7,7,7,6
sh-Oligopeptide-2,7,7,7,7,6
sh-Polypeptide-1,7,7,7,7,6
sh-Polypeptide-9,6,6,6,6,5
sh-Polypeptide-11,2,2,2,2,1
Copper Palmitoyl Heptapeptide-14,2,1,2,2,0
Heptapeptide-15 Palmitate,1,1,1,1,0
Palmitoyl Tetrapeptide-7,53,52,52,51,44
Palmitoyl Tripeptide-1,30,30,30,28,23
Alanine,13,12,12,11,9
Arginine,61,58,60,56,50
Glycine,21,21,21,20,14
Histidine,6,6,6,6,4
Isoleucine,6,6,6,6,4
Phenylalanine,6,6,6,6,4
Proline,12,9,11,10,8
Serine,18,17,17,16,11
Threonine,11,10,10,9,8
Valine,6,6,6,6,4
Acetyl Glutamine,3,3,3,3,2
Coconut Alkanes,10,10,10,10,5
Coco-Caprylate/Caprate,21,20,21,20,14
Sodium Hyaluronate,294,273,288,269,224
Aspartic Acid,6,6,6,6,3
Linoleic Acid,33,30,29,29,22
